job_titles,experience_levels,similarity_scores,processing_times,missing_skills_counts
Full Stack Developer,junior_developer,0.24233091,1.226811170578003,4
Full Stack Developer,junior_developer,0.36394948,0.20745205879211426,2
DevOps Engineer,junior_developer,0.29218552,0.33846592903137207,56
Software Engineer,junior_developer,0.31741646,0.28620314598083496,103
Software Engineer,junior_developer,0.37381694,0.2679870128631592,261
Software Engineer,junior_developer,0.30477613,0.2495899200439453,92
DevOps Engineer,junior_developer,0.28985155,0.24770522117614746,110
DevOps Engineer,junior_developer,0.27218124,0.2400519847869873,75
DevOps Engineer,junior_developer,0.3817678,0.19063878059387207,32
Software Engineer,junior_developer,0.44604054,0.24135470390319824,71
Software Engineer,junior_developer,0.45340836,0.24597501754760742,57
DevOps Engineer,junior_developer,0.35979372,0.2069559097290039,27
Software Engineer,junior_developer,0.2951294,0.24541187286376953,96
DevOps Engineer,junior_developer,0.41022623,0.23872613906860352,59
DevOps Engineer,junior_developer,0.24504039,0.24190902709960938,135
DevOps Engineer,junior_developer,0.36538967,0.24633288383483887,130
DevOps Engineer,junior_developer,0.44189954,0.1722888946533203,18
Full Stack Developer,junior_developer,0.36720806,0.2582521438598633,3
DevOps Engineer,junior_developer,0.19859827,0.2608761787414551,109
DevOps Engineer,junior_developer,0.109769225,0.24901390075683594,230
Full Stack Developer,junior_developer,0.387676,0.2645561695098877,2
Full Stack Developer,junior_developer,0.3517624,0.21152496337890625,1
Full Stack Developer,junior_developer,0.46967995,0.11356616020202637,1
Software Engineer,junior_developer,0.39384216,0.27454185485839844,70
DevOps Engineer,junior_developer,0.3681864,0.1815929412841797,26
Full Stack Developer,junior_developer,0.33257887,0.25641679763793945,2
Software Engineer,junior_developer,0.39845014,0.24045276641845703,158
Software Engineer,junior_developer,0.4985722,0.12964081764221191,22
DevOps Engineer,junior_developer,0.43354526,0.24393486976623535,28
Software Engineer,junior_developer,0.31069738,0.2427659034729004,108
Full Stack Developer,junior_developer,0.2573073,0.21334218978881836,2
DevOps Engineer,junior_developer,0.2404044,0.2370450496673584,95
DevOps Engineer,junior_developer,0.21907671,0.24540376663208008,93
Full Stack Developer,junior_developer,0.3694771,0.25980615615844727,2
Full Stack Developer,junior_developer,0.32073826,0.25078916549682617,4
Full Stack Developer,junior_developer,0.28336263,0.23993587493896484,6
Full Stack Developer,junior_developer,0.3155342,0.3127627372741699,3
Full Stack Developer,junior_developer,0.33241236,0.24190998077392578,5
Full Stack Developer,junior_developer,0.36852112,0.2719416618347168,4
Software Engineer,junior_developer,0.47969836,0.26041388511657715,83
Software Engineer,junior_developer,0.3753036,0.24764323234558105,157
Full Stack Developer,junior_developer,0.42183393,0.2211911678314209,2
Software Engineer,junior_developer,0.32497,0.26598024368286133,125
Software Engineer,junior_developer,0.3558833,0.21720075607299805,65
Software Engineer,junior_developer,0.3910262,0.18924713134765625,35
Full Stack Developer,junior_developer,0.4111871,0.20586800575256348,3
Full Stack Developer,junior_developer,0.38567516,0.2755551338195801,2
DevOps Engineer,junior_developer,0.28482473,0.23797202110290527,103
Full Stack Developer,junior_developer,0.26361728,0.26607680320739746,1
Software Engineer,junior_developer,0.5977688,0.08427119255065918,15
DevOps Engineer,junior_developer,0.395491,0.2548859119415283,35
DevOps Engineer,junior_developer,0.38366663,0.24778175354003906,148
DevOps Engineer,junior_developer,0.34736598,0.250593900680542,165
Full Stack Developer,junior_developer,0.31524286,0.27424120903015137,5
Full Stack Developer,junior_developer,0.4577288,0.2408437728881836,7
Software Engineer,junior_developer,0.63177156,0.24323773384094238,122
DevOps Engineer,junior_developer,0.36147735,0.2400498390197754,44
Full Stack Developer,junior_developer,0.25787142,0.27086329460144043,1
Full Stack Developer,junior_developer,0.28224298,0.1686420440673828,1
DevOps Engineer,junior_developer,0.26981625,0.24248814582824707,220
Software Engineer,junior_developer,0.34481698,0.25669312477111816,116
Software Engineer,junior_developer,0.3048092,0.24808692932128906,211
Software Engineer,junior_developer,0.44025385,0.04759979248046875,6
Software Engineer,junior_developer,0.45521328,0.2366349697113037,72
DevOps Engineer,junior_developer,0.27045715,0.16647005081176758,37
Full Stack Developer,junior_developer,0.24109095,0.265002965927124,8
DevOps Engineer,junior_developer,0.3043723,0.23506402969360352,67
Software Engineer,junior_developer,0.4833923,0.23716998100280762,56
Full Stack Developer,junior_developer,0.18579394,0.28318214416503906,8
Full Stack Developer,junior_developer,0.27211276,0.24387788772583008,4
Software Engineer,junior_developer,0.32191807,0.16290998458862305,39
Software Engineer,junior_developer,0.4399439,0.23865699768066406,104
Full Stack Developer,junior_developer,0.22420837,0.2907590866088867,1
Software Engineer,junior_developer,0.44414183,0.14858698844909668,13
Software Engineer,junior_developer,0.2527334,0.2155289649963379,46
Software Engineer,junior_developer,0.60182625,0.10666799545288086,19
Software Engineer,junior_developer,0.26812235,0.25017213821411133,138
Full Stack Developer,junior_developer,0.30164894,0.24933099746704102,2
Software Engineer,junior_developer,0.54126483,0.15290284156799316,43
Software Engineer,junior_developer,0.4435277,0.08711504936218262,15
DevOps Engineer,junior_developer,0.41787353,0.16544413566589355,29
Full Stack Developer,junior_developer,0.27364263,0.2534477710723877,2
DevOps Engineer,junior_developer,0.34463847,0.24136018753051758,173
Software Engineer,junior_developer,0.28540152,0.2432410717010498,155
DevOps Engineer,junior_developer,0.31696004,0.26330018043518066,61
Full Stack Developer,junior_developer,0.33810106,0.2564258575439453,9
DevOps Engineer,junior_developer,0.26498643,0.2524070739746094,74
Full Stack Developer,junior_developer,0.26983958,0.27196693420410156,5
Software Engineer,junior_developer,0.45327798,0.19356799125671387,34
DevOps Engineer,junior_developer,0.46054506,0.2037820816040039,36
Full Stack Developer,junior_developer,0.41632426,0.1828317642211914,3
Full Stack Developer,junior_developer,0.45175508,0.3063328266143799,5
DevOps Engineer,junior_developer,0.37232393,0.1012270450592041,10
DevOps Engineer,junior_developer,0.3588685,0.2425217628479004,147
Software Engineer,junior_developer,0.5190027,0.23398995399475098,43
DevOps Engineer,junior_developer,0.21858831,0.24762225151062012,223
Full Stack Developer,junior_developer,0.32571518,0.3046448230743408,3
Software Engineer,junior_developer,0.19792259,0.2356102466583252,104
Software Engineer,junior_developer,0.36187795,0.24372410774230957,154
Software Engineer,junior_developer,0.2189794,0.24951696395874023,141
DevOps Engineer,junior_developer,0.43098515,0.2415931224822998,82
DevOps Engineer,junior_developer,0.4605742,0.08542919158935547,7
DevOps Engineer,junior_developer,0.39698756,0.15301299095153809,34
Full Stack Developer,junior_developer,0.34960717,0.24338698387145996,8
Full Stack Developer,junior_developer,0.38497853,0.2617769241333008,1
Full Stack Developer,junior_developer,0.31545377,0.25075483322143555,3
Full Stack Developer,junior_developer,0.42458412,0.04633808135986328,1
Full Stack Developer,junior_developer,0.28990287,0.28125691413879395,7
Software Engineer,junior_developer,0.45465493,0.23421001434326172,82
Full Stack Developer,junior_developer,0.44621012,0.2207939624786377,4
Full Stack Developer,junior_developer,0.30193993,0.24789690971374512,10
Full Stack Developer,junior_developer,0.30124718,0.2802700996398926,4
DevOps Engineer,junior_developer,0.23426014,0.2376251220703125,109
Software Engineer,junior_developer,0.39928615,0.23884201049804688,74
Software Engineer,junior_developer,0.5845288,0.2373659610748291,126
Full Stack Developer,junior_developer,0.33011404,0.25467705726623535,3
DevOps Engineer,junior_developer,0.3126644,0.23991799354553223,111
Full Stack Developer,junior_developer,0.3441605,0.26180291175842285,3
Full Stack Developer,junior_developer,0.2279042,0.2710459232330322,7
Software Engineer,junior_developer,0.41442257,0.23372697830200195,51
Full Stack Developer,junior_developer,0.37895745,0.2896578311920166,4
Software Engineer,junior_developer,0.3591487,0.2504298686981201,160
Software Engineer,junior_developer,0.24337044,0.2520871162414551,161
Full Stack Developer,junior_developer,0.29566857,0.33136606216430664,6
Full Stack Developer,junior_developer,0.36785892,0.13087201118469238,3
Full Stack Developer,junior_developer,0.2756654,0.29784703254699707,5
